airline,price,departure_airport,arrival_airport,departure_time,arrival_time,duration,flight_number
Air Algerie,900,CDG,ALG,2025-12-22 14:30,2025-12-22 16:45,655,AH 1001
Air Algerie,900,ALG,ABJ,2025-12-22 20:00,2025-12-23 00:25,655,AH 5318
Royal Air Maroc,945,CDG,CMN,2025-12-22 07:00,2025-12-22 10:10,645,AT 703
Royal Air Maroc,945,CMN,ABJ,2025-12-22 13:30,2025-12-22 16:45,645,AT 535
Air France,1030,CDG,ABJ,2025-12-22 17:00,2025-12-22 22:45,405,AF 706
Air Cote D'Ivoire,1073,CDG,ABJ,2025-12-22 08:00,2025-12-22 13:40,400,HF 177
Air France,1074,CDG,ABJ,2025-12-22 14:10,2025-12-22 19:50,400,AF 702
Air Senegal,945,CDG,DSS,2025-12-22 08:45,2025-12-22 13:30,1730,HC 404
Air Senegal,945,DSS,CKY,2025-12-22 14:45,2025-12-22 16:05,1730,HC 209
Air Senegal,945,CKY,BKO,2025-12-22 16:55,2025-12-22 18:15,1730,HC 209
Air Senegal,945,BKO,ABJ,2025-12-23 11:05,2025-12-23 12:35,1730,HC 309
Royal Air Maroc,1012,CDG,CMN,2025-12-22 17:35,2025-12-22 20:45,735,AT 789
Royal Air Maroc,1012,CMN,ABJ,2025-12-23 01:20,2025-12-23 04:50,735,AT 533
Brussels Airlines,1040,CDG,BRU,2025-12-22 08:25,2025-12-22 09:25,605,SN 3632
Brussels Airlines,1040,BRU,ABJ,2025-12-22 11:30,2025-12-22 17:30,605,SN 251
Ethiopian,1614,CDG,ADD,2025-12-22 21:15,2025-12-23 06:35,1050,ET 735
Ethiopian,1614,ADD,ABJ,2025-12-23 10:30,2025-12-23 13:45,1050,ET 935
